

id,url,Timestamp1,http://stackoverflow.com/questions/17535514/lucene-highlighter,2017/04/19 00:42:36

id,url,Timestamp2,http://stackoverflow.com,2017/04/19 00:42:37

id,url,Timestamp3,http://stackoverflow.com/questions,2017/04/19 00:42:38

id,url,Timestamp4,http://stackoverflow.com/jobs,2017/04/19 00:42:38

id,url,Timestamp5,http://stackoverflow.com/documentation,2017/04/19 00:42:39

id,url,Timestamp6,http://stackoverflow.com/tags,2017/04/19 00:42:40

id,url,Timestamp7,http://chat.stackoverflow.com,2017/04/19 00:42:40

id,url,Timestamp8,https://meta.stackoverflow.com,2017/04/19 00:42:41

id,url,Timestamp9,https://stackexchange.com/sites,2017/04/19 00:42:41

id,url,Timestamp10,https://stackoverflow.blog,2017/04/19 00:42:41

id,url,Timestamp11,https://stackexchange.com,2017/04/19 00:42:42

id,url,Timestamp12,https://www.stackoverflowbusiness.com,2017/04/19 00:42:42

id,url,Timestamp13,http://stackexchange.com/legal/privacy-policy,2017/04/19 00:42:43

id,url,Timestamp14,https://www.stackoverflowbusiness.com/advertise,2017/04/19 00:42:43

id,url,Timestamp15,http://stackexchange.com/legal/terms-of-service,2017/04/19 00:42:43

id,url,Timestamp16,https://www.stackoverflowbusiness.com/talent,2017/04/19 00:42:44

id,url,Timestamp17,https://stackexchange.com/newsletters/newsletter,2017/04/19 00:42:44

id,url,Timestamp18,http://stackoverflow.com/help,2017/04/19 00:42:44

id,url,Timestamp19,https://stackexchange.com/questions,2017/04/19 00:42:45

id,url,Timestamp20,https://stackexchange.com/legal,2017/04/19 00:42:45

id,url,Timestamp21,https://stackexchange.com/legal/privacy-policy,2017/04/19 00:42:46

id,url,Timestamp22,http://stackoverflow.com/tour,2017/04/19 00:42:47

id,url,Timestamp23,http://stackexchange.com/sites,2017/04/19 00:42:47

id,url,Timestamp24,http://stackoverflow.com/company/about,2017/04/19 00:42:48

id,url,Timestamp25,http://stackoverflow.com/questions/tagged/java,2017/04/19 00:42:48

