
Id,Title,Timestamp,Count,Year of publish
2114303224,"a comparison of approaches to large scale data analysis",2017-06-18 16:16:29,726,2009
1791587242,"c store a column oriented dbms",2017-06-18 16:16:30,720,2005
2149576945,"aurora a new model and architecture for data stream management",2017-06-18 16:16:32,1074,2003
2118828104,"monitoring streams a new class of data management applications",2017-06-18 16:16:33,700,2002
1577169013,"the end of an architectural era it s time for a complete rewrite",2017-06-18 16:16:34,420,2007
2044490410,"mapreduce and parallel dbmss friends or foes",2017-06-18 16:16:35,299,2010
1966764836,"sql databases v nosql databases",2017-06-18 16:16:37,198,2010
2021589354,"the lowell database research self assessment",2017-06-18 16:16:38,158,2005
2102475035,"chabot retrieval from a relational database of images",2017-06-18 16:16:38,603,1995
2155070484,"h store a high performance distributed main memory transaction processing system",2017-06-18 16:16:39,259,2008
1985229168,"benchmarking cloud serving systems with ycsb",2017-06-18 16:16:41,995,2010
2110086534,"hive a warehousing solution over a map reduce framework",2017-06-18 16:16:44,805,2009
2096125134,"delay scheduling a simple technique for achieving locality and fairness in cluster scheduling",2017-06-18 16:16:46,689,2010
2157355837,"mapreduce a flexible data processing tool",2017-06-18 16:16:47,602,2010
2125775320,"hadoopdb an architectural hybrid of mapreduce and dbms technologies for analytical workloads",2017-06-18 16:16:49,572,2009
2339536459,"mapreduce online",2017-06-18 16:16:51,525,2010
1993892970,"hive a petabyte scale data warehouse using hadoop",2017-06-18 16:16:53,453,2010
2013409485,"spanner google s globally distributed database",2017-06-18 16:16:55,437,2013
2013344760,"haloop efficient iterative data processing on large clusters",2017-06-18 16:16:57,443,2010
2109574129,"data intensive applications challenges techniques and technologies a survey on big data",2017-06-18 16:16:59,380,2014
2044490410,"mapreduce and parallel dbmss friends or foes",2017-06-18 16:17:02,299,2010
2157954477,"toward scalable systems for big data analytics a technology tutorial",2017-06-18 16:17:03,206,2014
1845494277,"large scale incremental processing using distributed transactions and notifications",2017-06-18 16:17:05,292,2010
2091765165,"runtime measurements in the cloud observing analyzing and reducing variance",2017-06-18 16:17:07,339,2010
